round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,50,dirichlet,0.1,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,flwf2,fmnist,50,dirichlet,0.1,1,1,0,3.1397020785331726,0.1961,0.3922,0.0,-0.3906,0.1704,0.3906,,11957200,239144,25
2,flwf2,fmnist,50,dirichlet,0.1,1,0,0,2.6890576070785523,0.2392,0.4784,0.0,-0.0862,0.1704,0.4768,,23914400,239144,25
3,flwf2,fmnist,50,dirichlet,0.1,1,0,0,3.150783726787567,0.2877,0.5754,0.0,-0.09700000000000003,0.1704,0.5738,,35871600,239144,25
4,flwf2,fmnist,50,dirichlet,0.1,1,0,0,3.653467767715454,0.1854,0.3708,0.0,0.2046,0.1704,0.36920000000000003,,47828800,239144,25
5,flwf2,fmnist,50,dirichlet,0.1,1,0,0,2.8344665347099305,0.2913,0.5826,0.0,-0.007199999999999984,0.1704,0.581,,59786000,239144,25
6,flwf2,fmnist,50,dirichlet,0.1,1,0,0,2.711765588283539,0.2907,0.5814,0.0,0.0011999999999999789,0.1704,0.5798,,71743200,239144,25
7,flwf2,fmnist,50,dirichlet,0.1,1,0,0,3.023506962299347,0.3453,0.6906,0.0,-0.10799999999999998,0.1704,0.689,,83700400,239144,25
8,flwf2,fmnist,50,dirichlet,0.1,1,0,0,3.0961725271701814,0.3958,0.7916,0.0,-0.10099999999999998,0.1704,0.7899999999999999,,95657600,239144,25
9,flwf2,fmnist,50,dirichlet,0.1,1,0,0,3.4881647331357004,0.3922,0.7844,0.0,0.007199999999999984,0.1704,0.7827999999999999,,107614800,239144,25
10,flwf2,fmnist,50,dirichlet,0.1,1,0,1,3.7625134952425956,0.4082,0.8164,0.0,-0.024800000000000044,0.1704,0.8148,,119572000,239144,25
11,flwf2,fmnist,50,dirichlet,0.1,2,1,0,3.715277383172512,0.4081,0.8162,0.0,0.00019999999999997797,0.1704,0.8146,,131529200,239144,25
12,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.6712197664260864,0.4079,0.8158,0.0,0.0006000000000000449,0.1704,0.8141999999999999,,143486400,239144,25
13,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.6307374583005907,0.4079,0.8158,0.0,0.0006000000000000449,0.1704,0.8141999999999999,,155443600,239144,25
14,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.590308686041832,0.408,0.816,0.0,0.00040000000000006697,0.1704,0.8143999999999999,,167400800,239144,25
15,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.5523962465643883,0.408,0.816,0.0,0.00040000000000006697,0.1704,0.8143999999999999,,179358000,239144,25
16,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.508882010269165,0.4078,0.8156,0.0,0.0008000000000000229,0.1704,0.814,,191315200,239144,25
17,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.4691465320348738,0.4078,0.8156,0.0,0.0008000000000000229,0.1704,0.814,,203272400,239144,25
18,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.4377804328083994,0.4079,0.8158,0.0,0.0006000000000000449,0.1704,0.8141999999999999,,215229600,239144,25
19,flwf2,fmnist,50,dirichlet,0.1,2,0,0,3.4085572393298147,0.408,0.816,0.0,0.00040000000000006697,0.1704,0.8143999999999999,,227186800,239144,25
20,flwf2,fmnist,50,dirichlet,0.1,2,0,1,3.3755176435709,0.408,0.816,0.0,0.00040000000000006697,0.1704,0.8143999999999999,,239144000,239144,25
