Method,Dataset,Clients,Rounds,Accuracy,Convergence Round,Communication Cost,Forgetting
flwf2,cifar10,100,20,0.3414,,482896000,0.002
fedavg,cifar10,50,20,0.3622,,241448000,0.6676
fedavg,fmnist,50,20,0.482,,239144000,0.9102
fedavg,mnist,50,20,0.4347,,239144000,0.9390932087954856
fedavg,fmnist,100,20,0.3109,,478288000,0.5686
flwf2,cifar10,50,20,0.2892,,241448000,0.0889999999999999
fedavg,mnist,10,20,0.4833,,47828800,0.9976649153531816
fedavg,fmnist,100,20,0.4672,,478288000,0.824
flwf2,cifar10,100,20,0.3178,,482896000,0.0005999999999999
fedavg,cifar10,100,20,0.1186,,482896000,0.304
flwf2,mnist,50,20,0.5055,,239144000,0.0001945903872349
flwf2,fmnist,100,20,0.2702,,478288000,0.0003999999999999
fedavg,mnist,50,20,0.4796,,239144000,0.9926055652850748
flwf2,mnist,50,20,0.0982,,239144000,0.2019848219497956
fedavg,mnist,50,20,0.0974,,239144000,0.3977427515080755
flwf2,cifar10,10,20,0.1004,,48289600,0.2553999999999999
fedavg,mnist,10,20,0.0892,,47828800,0.3430628526950768
flwf2,fmnist,100,20,0.345,,478288000,0.1338
flwf2,mnist,10,20,0.5124,,47828800,0.0005837711617046
fedavg,mnist,100,20,0.4772,,478288000,0.989686709476552
fedavg,mnist,50,20,0.0974,,239144000,0.4446390348316793
fedavg,cifar10,10,20,0.4226,,48289600,0.7776
fedavg,mnist,50,20,0.4791,,239144000,0.9933839268340144
fedavg,mnist,100,20,0.4778,,478288000,0.9898812998637868
flwf2,fmnist,50,20,0.4567,,239144000,-0.0001999999999999
fedavg,cifar10,100,20,0.3343,,482896000,0.6184
fedavg,mnist,50,20,0.4797,,239144000,0.993967697995719
flwf2,mnist,100,20,0.5044,,478288000,0.0
fedavg,cifar10,10,20,0.1151,,48289600,0.4452
flwf2,cifar10,50,20,0.3445,,241448000,0.0418
flwf2,mnist,50,20,0.5107,,239144000,0.0
fedavg,mnist,50,20,0.4478,,239144000,0.9673088149445418
flwf2,fmnist,10,20,0.4672,,47828800,0.0013999999999999
fedavg,mnist,10,20,0.4763,,47828800,0.9918272037361354
fedavg,fmnist,10,20,0.4873,,47828800,0.9298
flwf2,cifar10,50,20,0.3601,,241448000,0.001
fedavg,fmnist,10,20,0.486,,47828800,0.9318
fedavg,fmnist,100,20,0.48,,478288000,0.9014
flwf2,fmnist,100,20,0.4523,,478288000,-0.0001999999999999
fedavg,mnist,50,20,0.4798,,239144000,0.9941622883829538
fedavg,fmnist,10,20,0.2012,,47828800,0.5988
fedavg,mnist,100,20,0.4775,,478288000,0.9902704806382564
flwf2,cifar10,10,20,0.4011,,48289600,0.0005999999999999
fedavg,mnist,100,20,0.4656,,478288000,0.9838489978595056
flwf2,cifar10,10,20,0.2719,,48289600,0.0636000000000001
flwf2,cifar10,100,20,0.0994,,482896000,0.1046
flwf2,fmnist,50,20,0.1121,,239144000,0.1519999999999999
fedavg,mnist,50,20,0.0974,,239144000,0.2368165012648375
fedavg,mnist,10,20,0.4819,,47828800,0.997081144191477
fedavg,fmnist,50,20,0.4786,,239144000,0.8112
fedavg,fmnist,50,20,0.3049,,239144000,0.514
fedavg,cifar10,50,20,0.388,,241448000,0.7374
fedavg,cifar10,100,20,0.3668,,482896000,0.674
flwf2,fmnist,10,20,0.3696,,47828800,0.0872
fedavg,mnist,10,20,0.4751,,47828800,0.9918272037361354
flwf2,mnist,10,20,0.5125,,47828800,0.0
flwf2,mnist,10,20,0.0982,,47828800,0.1519750924304339
flwf2,mnist,100,20,0.5088,,478288000,0.0
fedavg,mnist,50,20,0.4801,,239144000,0.9941622883829538
fedavg,cifar10,100,20,0.3739,,482896000,0.6866
flwf2,mnist,100,20,0.2995,,478288000,0.0011675423234092
flwf2,fmnist,10,20,0.465,,47828800,0.0003999999999999
flwf2,fmnist,50,20,0.4531,,239144000,0.004
flwf2,cifar10,10,20,0.3934,,48289600,0.0005999999999999
flwf2,mnist,10,20,0.5127,,47828800,-0.0001945903872349
fedavg,mnist,10,20,0.4826,,47828800,0.9978595057404164
fedavg,fmnist,50,20,0.483,,239144000,0.9106
fedavg,mnist,10,20,0.482,,47828800,0.9972757345787118
flwf2,cifar10,50,20,0.1113,,241448000,0.0703999999999999
fedavg,fmnist,10,20,0.4759,,47828800,0.8346
flwf2,fmnist,10,20,0.3231,,47828800,-0.0001999999999999
fedavg,cifar10,10,20,0.4324,,48289600,0.8032
fedavg,mnist,10,20,0.483,,47828800,0.9972757345787118
fedavg,fmnist,100,20,0.4797,,478288000,0.8978
fedavg,mnist,10,20,0.0892,,47828800,0.3430628526950768
fedavg,mnist,50,20,0.4797,,239144000,0.9947460595446584
fedavg,cifar10,50,20,0.1179,,241448000,0.3244
fedavg,mnist,50,20,0.4584,,239144000,0.9830706363105662
fedavg,fmnist,50,20,0.4846,,239144000,0.9132
fedavg,mnist,100,20,0.1515,,478288000,0.4092235843549329
fedavg,mnist,10,20,0.0999,,47828800,0.4055263669974703
flwf2,fmnist,100,20,0.4491,,478288000,0.0001999999999999
fedavg,cifar10,50,20,0.3774,,241448000,0.7222
fedavg,cifar10,10,20,0.3628,,48289600,0.6024
flwf2,mnist,10,20,0.5052,,47828800,0.0077836154893948
flwf2,fmnist,50,20,0.4547,,239144000,0.0011999999999999
flwf2,cifar10,100,20,0.3301,,482896000,0.0028
fedavg,mnist,10,20,0.4828,,47828800,0.9974703249659468
fedavg,fmnist,100,20,0.4789,,478288000,0.9036
fedavg,mnist,100,20,0.4761,,478288000,0.9906596614127262
flwf2,mnist,50,20,0.5108,,239144000,0.0003891807744696
fedavg,mnist,50,20,0.4794,,239144000,0.9941622883829538
fedavg,mnist,100,20,0.3089,,478288000,0.5438801323214634
flwf2,cifar10,10,20,0.3834,,48289600,0.0097999999999999
fedavg,mnist,10,20,0.4757,,47828800,0.9908542517999612
fedavg,fmnist,10,20,0.4887,,47828800,0.935
flwf2,fmnist,10,20,0.4614,,47828800,0.008
flwf2,cifar10,50,20,0.3674,,241448000,0.002
fedavg,cifar10,50,20,0.3502,,241448000,0.7302
flwf2,mnist,50,20,0.5101,,239144000,0.0013621327106441
flwf2,fmnist,100,20,0.4491,,478288000,0.0021999999999999
fedavg,cifar10,10,20,0.4073,,48289600,0.792
fedavg,mnist,10,20,0.4829,,47828800,0.9974703249659468
flwf2,cifar10,100,20,0.3364,,482896000,0.0022
flwf2,mnist,100,20,0.5089,,478288000,0.0
fedavg,mnist,50,20,0.479,,239144000,0.9943568787701887
fedavg,cifar10,100,20,0.3672,,482896000,0.672
flwf2,fmnist,50,20,0.408,,239144000,0.0004
fedavg,mnist,10,20,0.4818,,47828800,0.997081144191477
fedavg,mnist,10,20,0.4833,,47828800,0.9976649153531816
flwf2,mnist,100,20,0.5084,,478288000,0.0005837711617046
